Anaheim Ducks,Arizona Coyotes,Atlanta Hawks,Balance 7-day rolling mean,Boston Bruins,Boston Celtics,Brooklyn Nets,Buffalo Sabres,Calgary Flames,Carolina Hurricanes,Charlotte Hornets,Chicago Blackhawks,Chicago Bulls,Cleveland Cavaliers,Colorado Avalanche,Columbus Blue Jackets,Dallas Mavericks,Dallas Stars,Day,Denver Nuggets,Detroit Pistons,Detroit Red Wings,Edmonton Oilers,Florida Panthers,Golden State Warriors,Houston Rockets,Indiana Pacers,League,Los Angeles Clippers,Los Angeles Kings,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,Minnesota Wild,Montreal Canadiens,Nashville Predators,New Jersey Devils,New Orleans Pelicans,New York Islanders,New York Knicks,New York Rangers,Oklahoma City Thunder,Orlando Magic,Ottawa Senators,Philadelphia 76ers,Philadelphia Flyers,Phoenix Suns,Pittsburgh Penguins,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,San Jose Sharks,Schedule Type,St. Louis Blues,Tampa Bay Lightning,Toronto Maple Leafs,Toronto Raptors,Utah Jazz,Vancouver Canucks,Vegas Golden Knights,Washington Capitals,Washington Wizards,Winnipeg Jets,diff,max,mode,Schedule
,,51.0,2.142857142857143,,48.0,50.0,,,,48.0,,46.0,49.0,,,48.0,,2021-04-07 00:00:00,49.0,48.0,,,,49.0,47.0,49.0,NBA,51.0,,50.0,48.0,49.0,47.0,51.0,,,,,50.0,,51.0,,48.0,50.0,,51.0,,48.0,,48.0,49.0,46.0,,basic - low - 25_more_games - monthly - 0,,,,50.0,47.0,,,,48.0,,3,51,48,
,,51.0,2.2857142857142856,,48.0,50.0,,,,48.0,,46.0,50.0,,,49.0,,2021-04-08 00:00:00,49.0,49.0,,,,49.0,47.0,49.0,NBA,52.0,,51.0,48.0,50.0,48.0,51.0,,,,,50.0,,51.0,,49.0,50.0,,51.0,,49.0,,49.0,50.0,46.0,,basic - low - 25_more_games - monthly - 0,,,,50.0,48.0,,,,48.0,,3,52,49,
,,52.0,2.4285714285714284,,49.0,50.0,,,,49.0,,47.0,50.0,,,49.0,,2021-04-09 00:00:00,50.0,49.0,,,,50.0,48.0,50.0,NBA,53.0,,51.0,49.0,50.0,49.0,52.0,,,,,51.0,,52.0,,49.0,51.0,,52.0,,49.0,,49.0,50.0,47.0,,basic - low - 25_more_games - monthly - 0,,,,50.0,48.0,,,,49.0,,4,53,49,
,,52.0,2.7142857142857144,,49.0,50.0,,,,49.0,,47.0,51.0,,,49.0,,2021-04-10 00:00:00,50.0,49.0,,,,51.0,49.0,50.0,NBA,53.0,,51.0,49.0,50.0,49.0,52.0,,,,,51.0,,52.0,,49.0,51.0,,52.0,,49.0,,49.0,50.0,47.0,,basic - low - 25_more_games - monthly - 0,,,,51.0,48.0,,,,49.0,,4,53,49,
,,53.0,3.0,,50.0,50.0,,,,50.0,,48.0,52.0,,,50.0,,2021-04-11 00:00:00,51.0,50.0,,,,51.0,49.0,51.0,NBA,54.0,,51.0,50.0,51.0,50.0,53.0,,,,,52.0,,53.0,,49.0,52.0,,52.0,,49.0,,50.0,50.0,48.0,,basic - low - 25_more_games - monthly - 0,,,,52.0,48.0,,,,49.0,,4,54,50,
,,53.0,3.142857142857143,,50.0,50.0,,,,50.0,,48.0,52.0,,,51.0,,2021-04-12 00:00:00,52.0,50.0,,,,52.0,50.0,51.0,NBA,54.0,,52.0,50.0,51.0,50.0,53.0,,,,,53.0,,54.0,,49.0,53.0,,53.0,,50.0,,50.0,51.0,49.0,,basic - low - 25_more_games - monthly - 0,,,,52.0,49.0,,,,50.0,,4,54,50,
,,54.0,3.857142857142857,,51.0,50.0,,,,51.0,,48.0,52.0,,,51.0,,2021-04-13 00:00:00,52.0,50.0,,,,52.0,50.0,52.0,NBA,55.0,,53.0,50.0,52.0,50.0,53.0,,,,,53.0,,54.0,,50.0,53.0,,53.0,,51.0,,51.0,51.0,49.0,,basic - low - 25_more_games - monthly - 0,,,,53.0,50.0,,,,50.0,,5,55,50,
,,54.0,4.142857142857143,,51.0,51.0,,,,52.0,,49.0,53.0,,,52.0,,2021-04-14 00:00:00,53.0,51.0,,,,53.0,50.0,52.0,NBA,56.0,,53.0,51.0,53.0,51.0,54.0,,,,,54.0,,55.0,,51.0,54.0,,54.0,,51.0,,51.0,52.0,50.0,,basic - low - 25_more_games - monthly - 0,,,,54.0,50.0,,,,51.0,,5,56,51,
,,55.0,4.0,,52.0,51.0,,,,52.0,,49.0,54.0,,,52.0,,2021-04-15 00:00:00,53.0,51.0,,,,54.0,50.0,52.0,NBA,56.0,,54.0,51.0,53.0,52.0,54.0,,,,,54.0,,55.0,,51.0,54.0,,54.0,,52.0,,51.0,53.0,50.0,,basic - low - 25_more_games - monthly - 0,,,,54.0,50.0,,,,51.0,,2,56,54,
,,55.0,4.142857142857143,,52.0,52.0,,,,53.0,,50.0,54.0,,,53.0,,2021-04-16 00:00:00,54.0,52.0,,,,54.0,51.0,53.0,NBA,57.0,,54.0,52.0,54.0,52.0,55.0,,,,,55.0,,56.0,,52.0,55.0,,55.0,,52.0,,52.0,53.0,51.0,,basic - low - 25_more_games - monthly - 0,,,,55.0,51.0,,,,52.0,,5,57,52,
,,55.0,4.142857142857143,,53.0,52.0,,,,53.0,,51.0,55.0,,,53.0,,2021-04-17 00:00:00,54.0,53.0,,,,55.0,51.0,53.0,NBA,57.0,,55.0,53.0,54.0,53.0,55.0,,,,,55.0,,56.0,,52.0,55.0,,55.0,,53.0,,52.0,53.0,52.0,,basic - low - 25_more_games - monthly - 0,,,,55.0,52.0,,,,53.0,,4,57,53,
,,56.0,4.285714285714286,,53.0,53.0,,,,54.0,,51.0,55.0,,,54.0,,2021-04-18 00:00:00,54.0,53.0,,,,55.0,52.0,54.0,NBA,58.0,,55.0,53.0,55.0,53.0,56.0,,,,,56.0,,57.0,,53.0,56.0,,55.0,,53.0,,53.0,54.0,52.0,,basic - low - 25_more_games - monthly - 0,,,,56.0,52.0,,,,53.0,,5,58,53,
,,56.0,4.285714285714286,,54.0,53.0,,,,54.0,,52.0,56.0,,,54.0,,2021-04-19 00:00:00,55.0,54.0,,,,56.0,53.0,54.0,NBA,58.0,,56.0,54.0,56.0,54.0,56.0,,,,,56.0,,57.0,,54.0,56.0,,56.0,,54.0,,53.0,54.0,52.0,,basic - low - 25_more_games - monthly - 0,,,,56.0,53.0,,,,54.0,,4,58,54,
,,57.0,4.285714285714286,,54.0,54.0,,,,55.0,,52.0,56.0,,,54.0,,2021-04-20 00:00:00,55.0,54.0,,,,56.0,53.0,55.0,NBA,59.0,,56.0,54.0,56.0,55.0,57.0,,,,,57.0,,58.0,,54.0,57.0,,56.0,,54.0,,54.0,55.0,52.0,,basic - low - 25_more_games - monthly - 0,,,,56.0,53.0,,,,54.0,,5,59,54,
,,58.0,4.285714285714286,,54.0,55.0,,,,55.0,,53.0,57.0,,,54.0,,2021-04-21 00:00:00,56.0,54.0,,,,57.0,54.0,56.0,NBA,60.0,,56.0,55.0,57.0,55.0,58.0,,,,,57.0,,59.0,,55.0,57.0,,57.0,,55.0,,55.0,56.0,53.0,,basic - low - 25_more_games - monthly - 0,,,,57.0,54.0,,,,55.0,,5,60,55,
,,58.0,4.714285714285714,,55.0,55.0,,,,56.0,,54.0,57.0,,,55.0,,2021-04-22 00:00:00,56.0,55.0,,,,57.0,54.0,56.0,NBA,60.0,,57.0,55.0,57.0,56.0,58.0,,,,,58.0,,59.0,,55.0,58.0,,58.0,,56.0,,55.0,56.0,54.0,,basic - low - 25_more_games - monthly - 0,,,,57.0,54.0,,,,55.0,,5,60,55,
,,59.0,4.714285714285714,,56.0,56.0,,,,57.0,,54.0,58.0,,,55.0,,2021-04-23 00:00:00,57.0,55.0,,,,58.0,55.0,56.0,NBA,61.0,,57.0,55.0,58.0,56.0,58.0,,,,,58.0,,59.0,,56.0,58.0,,58.0,,56.0,,55.0,56.0,54.0,,basic - low - 25_more_games - monthly - 0,,,,57.0,54.0,,,,56.0,,5,61,56,
,,59.0,4.857142857142857,,56.0,56.0,,,,57.0,,55.0,58.0,,,56.0,,2021-04-24 00:00:00,58.0,56.0,,,,58.0,56.0,57.0,NBA,61.0,,58.0,55.0,59.0,57.0,59.0,,,,,58.0,,60.0,,56.0,58.0,,59.0,,56.0,,55.0,56.0,54.0,,basic - low - 25_more_games - monthly - 0,,,,58.0,55.0,,,,56.0,,5,61,56,
,,60.0,4.571428571428571,,57.0,57.0,,,,58.0,,55.0,58.0,,,56.0,,2021-04-25 00:00:00,58.0,56.0,,,,59.0,56.0,58.0,NBA,61.0,,58.0,55.0,59.0,58.0,59.0,,,,,58.0,,60.0,,56.0,59.0,,59.0,,57.0,,55.0,57.0,54.0,,basic - low - 25_more_games - monthly - 0,,,,58.0,55.0,,,,56.0,,3,61,58,
,,61.0,4.0,,57.0,57.0,,,,58.0,,56.0,59.0,,,57.0,,2021-04-26 00:00:00,59.0,57.0,,,,59.0,56.0,58.0,NBA,62.0,,59.0,56.0,60.0,58.0,60.0,,,,,59.0,,61.0,,57.0,60.0,,60.0,,58.0,,55.0,58.0,55.0,,basic - low - 25_more_games - monthly - 0,,,,59.0,56.0,,,,57.0,,0,62,62,
,,61.0,3.7142857142857135,,58.0,58.0,,,,59.0,,56.0,59.0,,,58.0,,2021-04-27 00:00:00,59.0,57.0,,,,60.0,57.0,59.0,NBA,62.0,,59.0,56.0,60.0,59.0,61.0,,,,,59.0,,61.0,,58.0,60.0,,60.0,,58.0,,56.0,58.0,55.0,,basic - low - 25_more_games - monthly - 0,,,,60.0,56.0,,,,57.0,,3,62,59,
,,62.0,3.4285714285714284,,59.0,58.0,,,,60.0,,57.0,60.0,,,58.0,,2021-04-28 00:00:00,60.0,57.0,,,,60.0,57.0,59.0,NBA,63.0,,60.0,57.0,61.0,59.0,61.0,,,,,60.0,,62.0,,58.0,61.0,,61.0,,59.0,,57.0,59.0,56.0,,basic - low - 25_more_games - monthly - 0,,,,60.0,57.0,,,,58.0,,3,63,60,
,,62.0,3.0,,59.0,59.0,,,,60.0,,57.0,60.0,,,59.0,,2021-04-29 00:00:00,61.0,58.0,,,,61.0,58.0,60.0,NBA,63.0,,60.0,57.0,61.0,60.0,62.0,,,,,61.0,,62.0,,59.0,61.0,,61.0,,59.0,,57.0,59.0,56.0,,basic - low - 25_more_games - monthly - 0,,,,61.0,57.0,,,,58.0,,2,63,61,
,,63.0,2.571428571428572,,60.0,60.0,,,,60.0,,58.0,61.0,,,59.0,,2021-04-30 00:00:00,61.0,58.0,,,,61.0,58.0,60.0,NBA,63.0,,61.0,58.0,61.0,61.0,62.0,,,,,61.0,,62.0,,59.0,62.0,,62.0,,60.0,,58.0,60.0,57.0,,basic - low - 25_more_games - monthly - 0,,,,61.0,58.0,,,,59.0,,2,63,61,
,,64.0,2.142857142857143,,60.0,60.0,,,,61.0,,59.0,62.0,,,60.0,,2021-05-01 00:00:00,62.0,59.0,,,,62.0,59.0,61.0,NBA,64.0,,61.0,59.0,62.0,61.0,63.0,,,,,62.0,,62.0,,60.0,63.0,,62.0,,60.0,,58.0,60.0,57.0,,basic - low - 25_more_games - monthly - 0,,,,62.0,59.0,,,,60.0,,2,64,62,
,,64.0,1.7142857142857142,,61.0,61.0,,,,62.0,,59.0,62.0,,,61.0,,2021-05-02 00:00:00,62.0,59.0,,,,62.0,60.0,61.0,NBA,64.0,,62.0,59.0,63.0,62.0,63.0,,,,,62.0,,63.0,,61.0,63.0,,63.0,,61.0,,59.0,61.0,58.0,,basic - low - 25_more_games - monthly - 0,,,,63.0,59.0,,,,60.0,,0,64,64,
,,65.0,1.7142857142857142,,61.0,61.0,,,,62.0,,60.0,62.0,,,61.0,,2021-05-03 00:00:00,63.0,60.0,,,,63.0,60.0,62.0,NBA,64.0,,63.0,60.0,63.0,62.0,63.0,,,,,63.0,,64.0,,61.0,64.0,,64.0,,61.0,,60.0,61.0,59.0,,basic - low - 25_more_games - monthly - 0,,,,63.0,60.0,,,,61.0,,0,65,65,
,,65.0,1.4285714285714286,,61.0,62.0,,,,63.0,,60.0,63.0,,,62.0,,2021-05-04 00:00:00,63.0,61.0,,,,64.0,60.0,62.0,NBA,65.0,,63.0,60.0,64.0,63.0,63.0,,,,,64.0,,64.0,,62.0,64.0,,64.0,,62.0,,60.0,62.0,59.0,,basic - low - 25_more_games - monthly - 0,,,,64.0,60.0,,,,61.0,,1,65,64,
,,66.0,1.2857142857142858,,62.0,62.0,,,,63.0,,60.0,64.0,,,62.0,,2021-05-05 00:00:00,64.0,61.0,,,,64.0,61.0,63.0,NBA,65.0,,63.0,60.0,64.0,64.0,63.0,,,,,64.0,,65.0,,62.0,65.0,,65.0,,63.0,,61.0,63.0,60.0,,basic - low - 25_more_games - monthly - 0,,,,64.0,61.0,,,,62.0,,2,66,64,
,,67.0,1.5714285714285714,,62.0,63.0,,,,63.0,,60.0,64.0,,,63.0,,2021-05-06 00:00:00,64.0,62.0,,,,65.0,61.0,64.0,NBA,66.0,,64.0,61.0,64.0,64.0,63.0,,,,,64.0,,65.0,,63.0,65.0,,65.0,,63.0,,61.0,63.0,60.0,,basic - low - 25_more_games - monthly - 0,,,,65.0,61.0,,,,63.0,,4,67,63,
,,67.0,1.5714285714285714,,62.0,63.0,,,,64.0,,60.0,65.0,,,64.0,,2021-05-07 00:00:00,65.0,62.0,,,,65.0,62.0,64.0,NBA,66.0,,65.0,61.0,65.0,65.0,64.0,,,,,65.0,,66.0,,63.0,66.0,,66.0,,64.0,,62.0,64.0,61.0,,basic - low - 25_more_games - monthly - 0,,,,65.0,62.0,,,,63.0,,2,67,65,
,,67.0,1.7142857142857142,,62.0,64.0,,,,64.0,,60.0,65.0,,,64.0,,2021-05-08 00:00:00,66.0,63.0,,,,66.0,63.0,65.0,NBA,66.0,,65.0,62.0,65.0,65.0,64.0,,,,,65.0,,66.0,,64.0,66.0,,67.0,,64.0,,63.0,64.0,62.0,,basic - low - 25_more_games - monthly - 0,,,,66.0,63.0,,,,64.0,,3,67,64,
,,67.0,2.0,,63.0,64.0,,,,65.0,,61.0,66.0,,,65.0,,2021-05-09 00:00:00,66.0,64.0,,,,66.0,63.0,65.0,NBA,67.0,,66.0,62.0,66.0,65.0,65.0,,,,,66.0,,67.0,,65.0,67.0,,67.0,,65.0,,63.0,65.0,62.0,,basic - low - 25_more_games - monthly - 0,,,,66.0,63.0,,,,64.0,,2,67,65,
,,68.0,2.0,,63.0,64.0,,,,65.0,,61.0,67.0,,,65.0,,2021-05-10 00:00:00,66.0,64.0,,,,67.0,64.0,66.0,NBA,67.0,,66.0,63.0,66.0,66.0,65.0,,,,,67.0,,67.0,,65.0,67.0,,67.0,,65.0,,64.0,65.0,63.0,,basic - low - 25_more_games - monthly - 0,,,,66.0,64.0,,,,65.0,,0,68,68,
,,68.0,1.8571428571428568,,63.0,65.0,,,,66.0,,62.0,67.0,,,66.0,,2021-05-11 00:00:00,67.0,65.0,,,,68.0,64.0,67.0,NBA,68.0,,67.0,64.0,66.0,67.0,66.0,,,,,67.0,,68.0,,66.0,68.0,,68.0,,66.0,,64.0,66.0,63.0,,basic - low - 25_more_games - monthly - 0,,,,67.0,64.0,,,,65.0,,0,68,68,
,,69.0,2.0,,64.0,66.0,,,,66.0,,62.0,68.0,,,66.0,,2021-05-12 00:00:00,67.0,65.0,,,,68.0,65.0,67.0,NBA,68.0,,68.0,64.0,66.0,67.0,66.0,,,,,67.0,,68.0,,66.0,68.0,,68.0,,66.0,,65.0,66.0,64.0,,basic - low - 25_more_games - monthly - 0,,,,67.0,65.0,,,,66.0,,3,69,66,
,,70.0,1.7142857142857142,,64.0,66.0,,,,67.0,,63.0,68.0,,,66.0,,2021-05-13 00:00:00,68.0,65.0,,,,68.0,65.0,68.0,NBA,69.0,,68.0,65.0,67.0,68.0,67.0,,,,,67.0,,68.0,,66.0,69.0,,69.0,,67.0,,66.0,67.0,64.0,,basic - low - 25_more_games - monthly - 0,,,,68.0,65.0,,,,66.0,,2,70,68,
,,70.0,1.8571428571428568,,64.0,66.0,,,,67.0,,63.0,68.0,,,67.0,,2021-05-14 00:00:00,69.0,66.0,,,,69.0,66.0,68.0,NBA,70.0,,68.0,65.0,67.0,68.0,67.0,,,,,68.0,,68.0,,67.0,70.0,,70.0,,67.0,,66.0,67.0,64.0,,basic - low - 25_more_games - monthly - 0,,,,69.0,66.0,,,,66.0,,3,70,67,
,,70.0,1.5714285714285714,,65.0,67.0,,,,68.0,,64.0,68.0,,,67.0,,2021-05-15 00:00:00,69.0,66.0,,,,69.0,66.0,69.0,NBA,70.0,,69.0,65.0,68.0,69.0,68.0,,,,,68.0,,69.0,,67.0,70.0,,70.0,,68.0,,66.0,67.0,65.0,,basic - low - 25_more_games - monthly - 0,,,,69.0,66.0,,,,66.0,,1,70,69,
,,71.0,1.4285714285714286,,66.0,68.0,,,,69.0,,65.0,69.0,,,68.0,,2021-05-16 00:00:00,70.0,67.0,,,,70.0,67.0,70.0,NBA,71.0,,70.0,66.0,69.0,70.0,69.0,,,,,69.0,,70.0,,68.0,71.0,,71.0,,69.0,,67.0,68.0,66.0,,basic - low - 25_more_games - monthly - 0,,,,70.0,67.0,,,,67.0,,1,71,70,
,,71.0,1.4285714285714286,,66.0,68.0,,,,69.0,,65.0,69.0,,,68.0,,2021-05-17 00:00:00,70.0,67.0,,,,70.0,68.0,70.0,NBA,71.0,,70.0,66.0,69.0,70.0,69.0,,,,,69.0,,70.0,,69.0,71.0,,71.0,,69.0,,67.0,68.0,66.0,,basic - low - 25_more_games - monthly - 0,,,,70.0,67.0,,,,67.0,,0,71,71,
,,71.0,1.7142857142857142,,66.0,69.0,,,,69.0,,66.0,69.0,,,68.0,,2021-05-18 00:00:00,70.0,67.0,,,,70.0,68.0,70.0,NBA,71.0,,70.0,66.0,69.0,71.0,70.0,,,,,69.0,,70.0,,69.0,71.0,,71.0,,69.0,,67.0,69.0,66.0,,basic - low - 25_more_games - monthly - 0,,,,70.0,67.0,,,,68.0,,2,71,69,
,,71.0,1.4285714285714286,,66.0,69.0,,,,70.0,,66.0,69.0,,,68.0,,2021-05-19 00:00:00,70.0,67.0,,,,70.0,69.0,70.0,NBA,71.0,,70.0,66.0,69.0,71.0,70.0,,,,,69.0,,70.0,,70.0,71.0,,71.0,,69.0,,67.0,69.0,66.0,,basic - low - 25_more_games - monthly - 0,,,,70.0,68.0,,,,68.0,,1,71,70,
,,71.0,1.4285714285714286,,67.0,70.0,,,,70.0,,67.0,70.0,,,68.0,,2021-05-20 00:00:00,71.0,67.0,,,,71.0,69.0,70.0,NBA,71.0,,70.0,67.0,69.0,72.0,71.0,,,,,70.0,,70.0,,71.0,72.0,,72.0,,70.0,,68.0,69.0,67.0,,basic - low - 25_more_games - monthly - 0,,,,70.0,69.0,,,,69.0,,2,72,70,
,,71.0,1.2857142857142858,,68.0,70.0,,,,71.0,,68.0,70.0,,,69.0,,2021-05-21 00:00:00,71.0,67.0,,,,71.0,70.0,70.0,NBA,71.0,,70.0,68.0,69.0,72.0,72.0,,,,,71.0,,70.0,,71.0,72.0,,72.0,,70.0,,69.0,69.0,67.0,,basic - low - 25_more_games - monthly - 0,,,,70.0,69.0,,,,70.0,,2,72,70,
,,71.0,1.4285714285714286,,68.0,70.0,,,,71.0,,68.0,70.0,,,69.0,,2021-05-22 00:00:00,71.0,67.0,,,,71.0,70.0,70.0,NBA,71.0,,70.0,68.0,69.0,72.0,72.0,,,,,71.0,,70.0,,71.0,72.0,,72.0,,70.0,,69.0,69.0,67.0,,basic - low - 25_more_games - monthly - 0,,,,70.0,69.0,,,,70.0,,2,72,70,
,,71.0,1.2857142857142858,,69.0,70.0,,,,71.0,,68.0,71.0,,,69.0,,2021-05-23 00:00:00,71.0,67.0,,,,71.0,70.0,70.0,NBA,71.0,,70.0,69.0,70.0,72.0,72.0,,,,,71.0,,70.0,,71.0,72.0,,72.0,,70.0,,70.0,69.0,67.0,,basic - low - 25_more_games - monthly - 0,,,,70.0,69.0,,,,71.0,,0,72,72,
,,71.0,1.4285714285714286,,69.0,70.0,,,,71.0,,68.0,71.0,,,69.0,,2021-05-24 00:00:00,71.0,67.0,,,,71.0,70.0,70.0,NBA,71.0,,70.0,70.0,70.0,72.0,72.0,,,,,71.0,,70.0,,71.0,72.0,,72.0,,70.0,,71.0,69.0,67.0,,basic - low - 25_more_games - monthly - 0,,,,70.0,69.0,,,,71.0,,1,72,71,
,,71.0,1.2857142857142858,,69.0,70.0,,,,71.0,,68.0,71.0,,,69.0,,2021-05-25 00:00:00,71.0,67.0,,,,71.0,70.0,70.0,NBA,71.0,,70.0,70.0,70.0,72.0,72.0,,,,,71.0,,70.0,,71.0,72.0,,72.0,,70.0,,71.0,69.0,67.0,,basic - low - 25_more_games - monthly - 0,,,,70.0,69.0,,,,71.0,,1,72,71,
,,71.0,1.2857142857142858,,69.0,70.0,,,,71.0,,68.0,71.0,,,69.0,,2021-05-26 00:00:00,71.0,67.0,,,,71.0,70.0,70.0,NBA,71.0,,70.0,71.0,70.0,72.0,72.0,,,,,71.0,,70.0,,71.0,72.0,,72.0,,70.0,,71.0,70.0,67.0,,basic - low - 25_more_games - monthly - 0,,,,70.0,69.0,,,,71.0,,1,72,71,
,,71.0,1.1428571428571428,,70.0,70.0,,,,71.0,,69.0,71.0,,,70.0,,2021-05-27 00:00:00,72.0,68.0,,,,72.0,71.0,71.0,NBA,71.0,,71.0,71.0,71.0,72.0,72.0,,,,,71.0,,71.0,,72.0,72.0,,72.0,,71.0,,71.0,71.0,68.0,,basic - low - 25_more_games - monthly - 0,,,,71.0,69.0,,,,71.0,,1,72,71,
,,71.0,1.0,,71.0,70.0,,,,71.0,,69.0,71.0,,,71.0,,2021-05-28 00:00:00,72.0,69.0,,,,72.0,72.0,71.0,NBA,71.0,,71.0,71.0,72.0,72.0,72.0,,,,,71.0,,72.0,,72.0,72.0,,72.0,,71.0,,71.0,71.0,69.0,,basic - low - 25_more_games - monthly - 0,,,,71.0,70.0,,,,71.0,,1,72,71,
,,71.0,0.8571428571428571,,71.0,70.0,,,,71.0,,69.0,71.0,,,71.0,,2021-05-29 00:00:00,72.0,69.0,,,,72.0,72.0,71.0,NBA,71.0,,71.0,71.0,72.0,72.0,72.0,,,,,71.0,,72.0,,72.0,72.0,,72.0,,71.0,,71.0,71.0,69.0,,basic - low - 25_more_games - monthly - 0,,,,71.0,70.0,,,,71.0,,1,72,71,
,,71.0,0.8571428571428571,,72.0,70.0,,,,71.0,,69.0,71.0,,,71.0,,2021-05-30 00:00:00,72.0,69.0,,,,72.0,72.0,72.0,NBA,72.0,,71.0,71.0,72.0,72.0,72.0,,,,,71.0,,72.0,,72.0,72.0,,72.0,,71.0,,71.0,71.0,70.0,,basic - low - 25_more_games - monthly - 0,,,,71.0,70.0,,,,71.0,,0,72,72,
,,71.0,0.7142857142857143,,72.0,70.0,,,,71.0,,69.0,72.0,,,71.0,,2021-05-31 00:00:00,72.0,69.0,,,,72.0,72.0,72.0,NBA,72.0,,71.0,71.0,72.0,72.0,72.0,,,,,71.0,,72.0,,72.0,72.0,,72.0,,71.0,,71.0,71.0,71.0,,basic - low - 25_more_games - monthly - 0,,,,71.0,70.0,,,,71.0,,0,72,72,
,,71.0,0.5714285714285714,,72.0,70.0,,,,71.0,,70.0,72.0,,,71.0,,2021-06-01 00:00:00,72.0,70.0,,,,72.0,72.0,72.0,NBA,72.0,,71.0,71.0,72.0,72.0,72.0,,,,,72.0,,72.0,,72.0,72.0,,72.0,,71.0,,71.0,71.0,71.0,,basic - low - 25_more_games - monthly - 0,,,,72.0,70.0,,,,71.0,,0,72,72,
,,71.0,0.4285714285714285,,72.0,71.0,,,,71.0,,70.0,72.0,,,71.0,,2021-06-02 00:00:00,72.0,70.0,,,,72.0,72.0,72.0,NBA,72.0,,71.0,71.0,72.0,72.0,72.0,,,,,72.0,,72.0,,72.0,72.0,,72.0,,71.0,,71.0,71.0,72.0,,basic - low - 25_more_games - monthly - 0,,,,72.0,70.0,,,,71.0,,0,72,72,
,,72.0,0.2857142857142857,,72.0,72.0,,,,71.0,,71.0,72.0,,,71.0,,2021-06-03 00:00:00,72.0,71.0,,,,72.0,72.0,72.0,NBA,72.0,,72.0,72.0,72.0,72.0,72.0,,,,,72.0,,72.0,,72.0,72.0,,72.0,,72.0,,72.0,71.0,72.0,,basic - low - 25_more_games - monthly - 0,,,,72.0,71.0,,,,72.0,,0,72,72,
,,72.0,0.1428571428571428,,72.0,72.0,,,,71.0,,71.0,72.0,,,72.0,,2021-06-04 00:00:00,72.0,72.0,,,,72.0,72.0,72.0,NBA,72.0,,72.0,72.0,72.0,72.0,72.0,,,,,72.0,,72.0,,72.0,72.0,,72.0,,72.0,,72.0,72.0,72.0,,basic - low - 25_more_games - monthly - 0,,,,72.0,72.0,,,,72.0,,0,72,72,
,,72.0,0.0,,72.0,72.0,,,,72.0,,72.0,72.0,,,72.0,,2021-06-05 00:00:00,72.0,72.0,,,,72.0,72.0,72.0,NBA,72.0,,72.0,72.0,72.0,72.0,72.0,,,,,72.0,,72.0,,72.0,72.0,,72.0,,72.0,,72.0,72.0,72.0,,basic - low - 25_more_games - monthly - 0,,,,72.0,72.0,,,,72.0,,0,72,72,
,,0.0,1.0,,0.0,1.0,,,,0.0,,0.0,0.0,,,0.0,,2020-12-22 00:00:00,0.0,0.0,,,,1.0,0.0,0.0,NBA,1.0,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,basic - low - 25_more_games - post_all_star - 0,,,,0.0,0.0,,,,0.0,,1,1,0,
,,1.0,0.5,,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,2020-12-23 00:00:00,1.0,1.0,,,,1.0,0.0,1.0,NBA,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,0.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,basic - low - 25_more_games - post_all_star - 0,,,,1.0,1.0,,,,1.0,,0,1,1,
,,1.0,0.3333333333333333,,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,2020-12-24 00:00:00,1.0,1.0,,,,1.0,0.0,1.0,NBA,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,0.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,basic - low - 25_more_games - post_all_star - 0,,,,1.0,1.0,,,,1.0,,0,1,1,
,,1.0,0.5,,2.0,2.0,,,,1.0,,1.0,1.0,,,2.0,,2020-12-25 00:00:00,2.0,1.0,,,,2.0,0.0,1.0,NBA,2.0,,2.0,1.0,2.0,2.0,1.0,,,,,2.0,,1.0,,0.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,basic - low - 25_more_games - post_all_star - 0,,,,1.0,1.0,,,,1.0,,1,2,1,
,,2.0,0.4,,2.0,2.0,,,,1.0,,2.0,2.0,,,2.0,,2020-12-26 00:00:00,2.0,2.0,,,,2.0,1.0,2.0,NBA,2.0,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,,2.0,,0.0,2.0,,2.0,,2.0,,2.0,2.0,2.0,,basic - low - 25_more_games - post_all_star - 0,,,,2.0,2.0,,,,2.0,,0,2,2,
,,2.0,0.3333333333333333,,3.0,2.0,,,,1.0,,3.0,3.0,,,3.0,,2020-12-27 00:00:00,2.0,2.0,,,,3.0,1.0,3.0,NBA,3.0,,3.0,2.0,2.0,3.0,3.0,,,,,3.0,,3.0,,0.0,3.0,,3.0,,3.0,,2.0,3.0,3.0,,basic - low - 25_more_games - post_all_star - 0,,,,2.0,2.0,,,,3.0,,0,3,3,
