home,visitor,game_date,Schedule Type,League,Schedule
Charlotte Hornets,Houston Rockets,2021-02-08,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,Washington Wizards,2021-02-08,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Toronto Raptors,2021-02-08,basic - high - 25_more_games - monthly - 0,NBA,
Dallas Mavericks,Minnesota Timberwolves,2021-02-08,basic - high - 25_more_games - monthly - 0,NBA,
San Antonio Spurs,Golden State Warriors,2021-02-08,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Cleveland Cavaliers,2021-02-08,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,Milwaukee Bucks,2021-02-08,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Oklahoma City Thunder,2021-05-20,basic - high - 25_more_games - monthly - 0,NBA,
Detroit Pistons,Brooklyn Nets,2021-02-09,basic - high - 25_more_games - monthly - 0,NBA,
Miami Heat,New York Knicks,2021-02-09,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Houston Rockets,2021-02-09,basic - high - 25_more_games - monthly - 0,NBA,
San Antonio Spurs,Golden State Warriors,2021-02-09,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,Orlando Magic,2021-02-09,basic - high - 25_more_games - monthly - 0,NBA,
Sacramento Kings,Philadelphia 76ers,2021-02-09,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Boston Celtics,2021-05-20,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,Toronto Raptors,2021-02-10,basic - high - 25_more_games - monthly - 0,NBA,
Dallas Mavericks,Atlanta Hawks,2021-02-10,basic - high - 25_more_games - monthly - 0,NBA,
Brooklyn Nets,Indiana Pacers,2021-02-10,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Charlotte Hornets,2021-02-10,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,Los Angeles Clippers,2021-02-10,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,New Orleans Pelicans,2021-02-10,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,Cleveland Cavaliers,2021-02-10,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Oklahoma City Thunder,2021-02-10,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Milwaukee Bucks,2021-02-10,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Toronto Raptors,2021-02-11,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,Miami Heat,2021-02-11,basic - high - 25_more_games - monthly - 0,NBA,
Detroit Pistons,Indiana Pacers,2021-02-11,basic - high - 25_more_games - monthly - 0,NBA,
Golden State Warriors,Orlando Magic,2021-02-11,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,Philadelphia 76ers,2021-02-11,basic - high - 25_more_games - monthly - 0,NBA,
Charlotte Hornets,Minnesota Timberwolves,2021-02-12,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,New York Knicks,2021-02-12,basic - high - 25_more_games - monthly - 0,NBA,
Atlanta Hawks,San Antonio Spurs,2021-02-12,basic - high - 25_more_games - monthly - 0,NBA,
Dallas Mavericks,New Orleans Pelicans,2021-02-12,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Detroit Pistons,2021-02-12,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,Los Angeles Clippers,2021-02-12,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,Oklahoma City Thunder,2021-02-12,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Milwaukee Bucks,2021-02-12,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Memphis Grizzlies,2021-02-12,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,Cleveland Cavaliers,2021-02-12,basic - high - 25_more_games - monthly - 0,NBA,
Sacramento Kings,Orlando Magic,2021-02-12,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Philadelphia 76ers,2021-02-13,basic - high - 25_more_games - monthly - 0,NBA,
Atlanta Hawks,Indiana Pacers,2021-02-13,basic - high - 25_more_games - monthly - 0,NBA,
New York Knicks,Houston Rockets,2021-02-13,basic - high - 25_more_games - monthly - 0,NBA,
Golden State Warriors,Brooklyn Nets,2021-02-13,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Miami Heat,2021-02-13,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,Boston Celtics,2021-02-14,basic - high - 25_more_games - monthly - 0,NBA,
Charlotte Hornets,San Antonio Spurs,2021-02-14,basic - high - 25_more_games - monthly - 0,NBA,
Detroit Pistons,New Orleans Pelicans,2021-02-14,basic - high - 25_more_games - monthly - 0,NBA,
Toronto Raptors,Minnesota Timberwolves,2021-02-14,basic - high - 25_more_games - monthly - 0,NBA,
Dallas Mavericks,Portland Trail Blazers,2021-02-14,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,Milwaukee Bucks,2021-02-14,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Orlando Magic,2021-02-14,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,Los Angeles Lakers,2021-02-14,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Cleveland Cavaliers,2021-02-14,basic - high - 25_more_games - monthly - 0,NBA,
Sacramento Kings,Memphis Grizzlies,2021-02-14,basic - high - 25_more_games - monthly - 0,NBA,
Indiana Pacers,Chicago Bulls,2021-02-15,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,Houston Rockets,2021-02-15,basic - high - 25_more_games - monthly - 0,NBA,
New York Knicks,Atlanta Hawks,2021-02-15,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Philadelphia 76ers,2021-02-15,basic - high - 25_more_games - monthly - 0,NBA,
Golden State Warriors,Cleveland Cavaliers,2021-02-15,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Miami Heat,2021-02-15,basic - high - 25_more_games - monthly - 0,NBA,
Sacramento Kings,Brooklyn Nets,2021-02-15,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Denver Nuggets,2021-02-16,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,New Orleans Pelicans,2021-02-16,basic - high - 25_more_games - monthly - 0,NBA,
Milwaukee Bucks,Toronto Raptors,2021-02-16,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,Los Angeles Lakers,2021-02-16,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,Portland Trail Blazers,2021-02-16,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Brooklyn Nets,2021-02-16,basic - high - 25_more_games - monthly - 0,NBA,
Orlando Magic,New York Knicks,2021-02-17,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Atlanta Hawks,2021-02-17,basic - high - 25_more_games - monthly - 0,NBA,
Philadelphia 76ers,Houston Rockets,2021-02-17,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,Detroit Pistons,2021-02-17,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,Indiana Pacers,2021-02-17,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,Denver Nuggets,2021-02-17,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Oklahoma City Thunder,2021-02-17,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Portland Trail Blazers,2021-02-17,basic - high - 25_more_games - monthly - 0,NBA,
Golden State Warriors,Miami Heat,2021-03-28,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Utah Jazz,2021-02-17,basic - high - 25_more_games - monthly - 0,NBA,
Milwaukee Bucks,Toronto Raptors,2021-02-18,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Brooklyn Nets,2021-02-18,basic - high - 25_more_games - monthly - 0,NBA,
Sacramento Kings,Miami Heat,2021-02-18,basic - high - 25_more_games - monthly - 0,NBA,
Cleveland Cavaliers,Denver Nuggets,2021-02-19,basic - high - 25_more_games - monthly - 0,NBA,
Orlando Magic,Golden State Warriors,2021-02-19,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Atlanta Hawks,2021-02-19,basic - high - 25_more_games - monthly - 0,NBA,
Philadelphia 76ers,Chicago Bulls,2021-02-19,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Detroit Pistons,2021-02-19,basic - high - 25_more_games - monthly - 0,NBA,
Milwaukee Bucks,Oklahoma City Thunder,2021-02-19,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Phoenix Suns,2021-02-19,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,Toronto Raptors,2021-02-19,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Utah Jazz,2021-02-19,basic - high - 25_more_games - monthly - 0,NBA,
Charlotte Hornets,Golden State Warriors,2021-02-20,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Miami Heat,2021-02-20,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,Sacramento Kings,2021-02-20,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Phoenix Suns,2021-02-20,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,Washington Wizards,2021-02-20,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Boston Celtics,2021-02-21,basic - high - 25_more_games - monthly - 0,NBA,
Cleveland Cavaliers,Oklahoma City Thunder,2021-02-21,basic - high - 25_more_games - monthly - 0,NBA,
New York Knicks,Minnesota Timberwolves,2021-02-21,basic - high - 25_more_games - monthly - 0,NBA,
Orlando Magic,Detroit Pistons,2021-02-21,basic - high - 25_more_games - monthly - 0,NBA,
Toronto Raptors,Philadelphia 76ers,2021-02-21,basic - high - 25_more_games - monthly - 0,NBA,
Atlanta Hawks,Denver Nuggets,2021-02-21,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Brooklyn Nets,2021-02-21,basic - high - 25_more_games - monthly - 0,NBA,
Milwaukee Bucks,Sacramento Kings,2021-02-21,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,Chicago Bulls,2021-02-22,basic - high - 25_more_games - monthly - 0,NBA,
Dallas Mavericks,Memphis Grizzlies,2021-02-22,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,Miami Heat,2021-02-22,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Portland Trail Blazers,2021-02-22,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Charlotte Hornets,2021-02-22,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Washington Wizards,2021-02-22,basic - high - 25_more_games - monthly - 0,NBA,
Cleveland Cavaliers,Atlanta Hawks,2021-02-23,basic - high - 25_more_games - monthly - 0,NBA,
Orlando Magic,Detroit Pistons,2021-02-23,basic - high - 25_more_games - monthly - 0,NBA,
Brooklyn Nets,Sacramento Kings,2021-02-23,basic - high - 25_more_games - monthly - 0,NBA,
Dallas Mavericks,Boston Celtics,2021-02-23,basic - high - 25_more_games - monthly - 0,NBA,
New York Knicks,Golden State Warriors,2021-02-23,basic - high - 25_more_games - monthly - 0,NBA,
Toronto Raptors,Philadelphia 76ers,2021-02-23,basic - high - 25_more_games - monthly - 0,NBA,
Milwaukee Bucks,Minnesota Timberwolves,2021-02-23,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,Portland Trail Blazers,2021-02-23,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Washington Wizards,2021-02-23,basic - high - 25_more_games - monthly - 0,NBA,
Atlanta Hawks,Boston Celtics,2021-02-24,basic - high - 25_more_games - monthly - 0,NBA,
Cleveland Cavaliers,Houston Rockets,2021-02-24,basic - high - 25_more_games - monthly - 0,NBA,
Indiana Pacers,Golden State Warriors,2021-02-24,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,Minnesota Timberwolves,2021-02-24,basic - high - 25_more_games - monthly - 0,NBA,
Miami Heat,Toronto Raptors,2021-02-24,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Detroit Pistons,2021-02-24,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,San Antonio Spurs,2021-02-24,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Charlotte Hornets,2021-02-24,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Los Angeles Lakers,2021-02-24,basic - high - 25_more_games - monthly - 0,NBA,
Philadelphia 76ers,Dallas Mavericks,2021-02-25,basic - high - 25_more_games - monthly - 0,NBA,
Brooklyn Nets,Orlando Magic,2021-02-25,basic - high - 25_more_games - monthly - 0,NBA,
New York Knicks,Sacramento Kings,2021-02-25,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Los Angeles Clippers,2021-02-25,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,Washington Wizards,2021-02-25,basic - high - 25_more_games - monthly - 0,NBA,
Milwaukee Bucks,New Orleans Pelicans,2021-02-25,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Indiana Pacers,2021-02-26,basic - high - 25_more_games - monthly - 0,NBA,
Toronto Raptors,Houston Rockets,2021-02-26,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,Phoenix Suns,2021-02-26,basic - high - 25_more_games - monthly - 0,NBA,
Detroit Pistons,Sacramento Kings,2021-02-26,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Los Angeles Clippers,2021-02-26,basic - high - 25_more_games - monthly - 0,NBA,
Miami Heat,Utah Jazz,2021-02-26,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,Atlanta Hawks,2021-02-26,basic - high - 25_more_games - monthly - 0,NBA,
Golden State Warriors,Charlotte Hornets,2021-02-26,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Portland Trail Blazers,2021-02-26,basic - high - 25_more_games - monthly - 0,NBA,
Philadelphia 76ers,Cleveland Cavaliers,2021-02-27,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,Minnesota Timberwolves,2021-02-27,basic - high - 25_more_games - monthly - 0,NBA,
New York Knicks,Indiana Pacers,2021-02-27,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,Denver Nuggets,2021-02-27,basic - high - 25_more_games - monthly - 0,NBA,
Orlando Magic,Utah Jazz,2021-02-27,basic - high - 25_more_games - monthly - 0,NBA,
San Antonio Spurs,New Orleans Pelicans,2021-02-27,basic - high - 25_more_games - monthly - 0,NBA,
Brooklyn Nets,Dallas Mavericks,2021-02-27,basic - high - 25_more_games - monthly - 0,NBA,
Milwaukee Bucks,Los Angeles Clippers,2021-02-28,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Washington Wizards,2021-02-28,basic - high - 25_more_games - monthly - 0,NBA,
Detroit Pistons,New York Knicks,2021-02-28,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,Memphis Grizzlies,2021-02-28,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Golden State Warriors,2021-02-28,basic - high - 25_more_games - monthly - 0,NBA,
Miami Heat,Atlanta Hawks,2021-02-28,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,Phoenix Suns,2021-02-28,basic - high - 25_more_games - monthly - 0,NBA,
Sacramento Kings,Charlotte Hornets,2021-02-28,basic - high - 25_more_games - monthly - 0,NBA,
Orlando Magic,Dallas Mavericks,2021-03-01,basic - high - 25_more_games - monthly - 0,NBA,
Philadelphia 76ers,Indiana Pacers,2021-03-01,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,Denver Nuggets,2021-03-01,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Utah Jazz,2021-03-01,basic - high - 25_more_games - monthly - 0,NBA,
San Antonio Spurs,Brooklyn Nets,2021-05-21,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,Cleveland Cavaliers,2021-03-01,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,Charlotte Hornets,2021-03-01,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,Memphis Grizzlies,2021-03-02,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Los Angeles Clippers,2021-03-02,basic - high - 25_more_games - monthly - 0,NBA,
Miami Heat,Atlanta Hawks,2021-03-02,basic - high - 25_more_games - monthly - 0,NBA,
San Antonio Spurs,New York Knicks,2021-03-02,basic - high - 25_more_games - monthly - 0,NBA,
Milwaukee Bucks,Denver Nuggets,2021-03-02,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Phoenix Suns,2021-03-02,basic - high - 25_more_games - monthly - 0,NBA,
Cleveland Cavaliers,Indiana Pacers,2021-03-03,basic - high - 25_more_games - monthly - 0,NBA,
Philadelphia 76ers,Utah Jazz,2021-03-03,basic - high - 25_more_games - monthly - 0,NBA,
Toronto Raptors,Detroit Pistons,2021-03-03,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,Brooklyn Nets,2021-03-03,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,Charlotte Hornets,2021-03-03,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Chicago Bulls,2021-05-21,basic - high - 25_more_games - monthly - 0,NBA,
Orlando Magic,Atlanta Hawks,2021-03-03,basic - high - 25_more_games - monthly - 0,NBA,
Dallas Mavericks,Oklahoma City Thunder,2021-03-03,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,Golden State Warriors,2021-03-03,basic - high - 25_more_games - monthly - 0,NBA,
Sacramento Kings,Los Angeles Lakers,2021-03-03,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Toronto Raptors,2021-03-04,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,Los Angeles Clippers,2021-03-04,basic - high - 25_more_games - monthly - 0,NBA,
New York Knicks,Detroit Pistons,2021-03-04,basic - high - 25_more_games - monthly - 0,NBA,
Indiana Pacers,Denver Nuggets,2021-03-04,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Milwaukee Bucks,2021-03-04,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Miami Heat,2021-03-04,basic - high - 25_more_games - monthly - 0,NBA,
San Antonio Spurs,Oklahoma City Thunder,2021-03-04,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Golden State Warriors,2021-03-04,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,Sacramento Kings,2021-03-04,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Washington Wizards,2021-03-10,basic - high - 25_more_games - monthly - 0,NBA,
Dallas Mavericks,San Antonio Spurs,2021-03-10,basic - high - 25_more_games - monthly - 0,NBA,
Charlotte Hornets,Detroit Pistons,2021-03-11,basic - high - 25_more_games - monthly - 0,NBA,
Brooklyn Nets,Boston Celtics,2021-03-11,basic - high - 25_more_games - monthly - 0,NBA,
Toronto Raptors,Atlanta Hawks,2021-03-11,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,Philadelphia 76ers,2021-03-11,basic - high - 25_more_games - monthly - 0,NBA,
Miami Heat,Orlando Magic,2021-03-11,basic - high - 25_more_games - monthly - 0,NBA,
Milwaukee Bucks,New York Knicks,2021-03-11,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Minnesota Timberwolves,2021-03-11,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,Dallas Mavericks,2021-03-11,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Golden State Warriors,2021-03-11,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,Phoenix Suns,2021-03-11,basic - high - 25_more_games - monthly - 0,NBA,
Sacramento Kings,Houston Rockets,2021-03-11,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Denver Nuggets,2021-03-12,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Cleveland Cavaliers,2021-03-12,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,Philadelphia 76ers,2021-03-12,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,Miami Heat,2021-03-12,basic - high - 25_more_games - monthly - 0,NBA,
San Antonio Spurs,Orlando Magic,2021-03-12,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Houston Rockets,2021-05-19,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Indiana Pacers,2021-03-12,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,New York Knicks,2021-03-13,basic - high - 25_more_games - monthly - 0,NBA,
Brooklyn Nets,Detroit Pistons,2021-03-13,basic - high - 25_more_games - monthly - 0,NBA,
Charlotte Hornets,Toronto Raptors,2021-03-13,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,Milwaukee Bucks,2021-03-13,basic - high - 25_more_games - monthly - 0,NBA,
Atlanta Hawks,Sacramento Kings,2021-03-13,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,Portland Trail Blazers,2021-03-13,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,Dallas Mavericks,2021-03-13,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Indiana Pacers,2021-03-13,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,Memphis Grizzlies,2021-03-14,basic - high - 25_more_games - monthly - 0,NBA,
Golden State Warriors,Utah Jazz,2021-03-14,basic - high - 25_more_games - monthly - 0,NBA,
Philadelphia 76ers,San Antonio Spurs,2021-03-14,basic - high - 25_more_games - monthly - 0,NBA,
Orlando Magic,Miami Heat,2021-03-14,basic - high - 25_more_games - monthly - 0,NBA,
Atlanta Hawks,Cleveland Cavaliers,2021-03-14,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,Boston Celtics,2021-03-14,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,Portland Trail Blazers,2021-03-14,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,Toronto Raptors,2021-03-14,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Los Angeles Clippers,2021-03-14,basic - high - 25_more_games - monthly - 0,NBA,
Charlotte Hornets,Sacramento Kings,2021-03-15,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,Milwaukee Bucks,2021-03-15,basic - high - 25_more_games - monthly - 0,NBA,
Brooklyn Nets,New York Knicks,2021-03-15,basic - high - 25_more_games - monthly - 0,NBA,
Detroit Pistons,San Antonio Spurs,2021-03-15,basic - high - 25_more_games - monthly - 0,NBA,
Dallas Mavericks,Los Angeles Clippers,2021-03-15,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,Indiana Pacers,2021-03-15,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Memphis Grizzlies,2021-03-15,basic - high - 25_more_games - monthly - 0,NBA,
Golden State Warriors,Los Angeles Lakers,2021-03-15,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Utah Jazz,2021-03-16,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,Oklahoma City Thunder,2021-03-16,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,Atlanta Hawks,2021-03-16,basic - high - 25_more_games - monthly - 0,NBA,
Miami Heat,Cleveland Cavaliers,2021-03-16,basic - high - 25_more_games - monthly - 0,NBA,
Philadelphia 76ers,New York Knicks,2021-03-16,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,New Orleans Pelicans,2021-03-16,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Minnesota Timberwolves,2021-03-16,basic - high - 25_more_games - monthly - 0,NBA,
Detroit Pistons,Toronto Raptors,2021-03-17,basic - high - 25_more_games - monthly - 0,NBA,
Indiana Pacers,Brooklyn Nets,2021-03-17,basic - high - 25_more_games - monthly - 0,NBA,
Philadelphia 76ers,Milwaukee Bucks,2021-03-17,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,Sacramento Kings,2021-03-17,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,San Antonio Spurs,2021-03-17,basic - high - 25_more_games - monthly - 0,NBA,
Cleveland Cavaliers,Boston Celtics,2021-03-17,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,Golden State Warriors,2021-03-17,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,Charlotte Hornets,2021-03-17,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Miami Heat,2021-03-17,basic - high - 25_more_games - monthly - 0,NBA,
Dallas Mavericks,Los Angeles Clippers,2021-03-17,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,Utah Jazz,2021-05-17,basic - high - 25_more_games - monthly - 0,NBA,
Atlanta Hawks,Oklahoma City Thunder,2021-03-18,basic - high - 25_more_games - monthly - 0,NBA,
New York Knicks,Orlando Magic,2021-03-18,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Minnesota Timberwolves,2021-03-18,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,New Orleans Pelicans,2021-03-18,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Charlotte Hornets,2021-03-18,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Sacramento Kings,2021-03-19,basic - high - 25_more_games - monthly - 0,NBA,
Cleveland Cavaliers,San Antonio Spurs,2021-05-20,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,Detroit Pistons,2021-03-19,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Golden State Warriors,2021-03-19,basic - high - 25_more_games - monthly - 0,NBA,
Miami Heat,Indiana Pacers,2021-03-19,basic - high - 25_more_games - monthly - 0,NBA,
Orlando Magic,Brooklyn Nets,2021-03-19,basic - high - 25_more_games - monthly - 0,NBA,
Toronto Raptors,Utah Jazz,2021-03-19,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,Chicago Bulls,2021-03-19,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Minnesota Timberwolves,2021-03-19,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,Dallas Mavericks,2021-03-19,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Atlanta Hawks,2021-03-20,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Golden State Warriors,2021-03-20,basic - high - 25_more_games - monthly - 0,NBA,
Philadelphia 76ers,Sacramento Kings,2021-03-20,basic - high - 25_more_games - monthly - 0,NBA,
Milwaukee Bucks,San Antonio Spurs,2021-03-20,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Charlotte Hornets,2021-03-20,basic - high - 25_more_games - monthly - 0,NBA,
Miami Heat,Indiana Pacers,2021-03-21,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,Oklahoma City Thunder,2021-03-20,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,New Orleans Pelicans,2021-03-21,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Orlando Magic,2021-03-21,basic - high - 25_more_games - monthly - 0,NBA,
Brooklyn Nets,Washington Wizards,2021-03-21,basic - high - 25_more_games - monthly - 0,NBA,
Cleveland Cavaliers,Toronto Raptors,2021-03-21,basic - high - 25_more_games - monthly - 0,NBA,
